Indian Institute of Technology Bombay, IITB, University, Mumbai, Maharashtra, registrar@iitb.ac.in, 022-25722545
Indian Institute of Technology Delhi, IITD, University, New Delhi, Delhi, registrar@admin.iitd.ac.in, 011-26597135
University of Delhi, DU, University, New Delhi, Delhi, registrar@du.ac.in, 011-27667853
Jawaharlal Nehru University, JNU, University, New Delhi, Delhi, registrar@jnu.ac.in, 011-26742575
Banaras Hindu University, BHU, University, Varanasi, Uttar Pradesh, registrar@bhu.ac.in, 0542-2368558
University of Mumbai, MU, University, Mumbai, Maharashtra, registrar@fort.mu.ac.in, 022-22708700
Anna University, AU, University, Chennai, Tamil Nadu, registrar@annauniv.edu, 044-22352161
Vellore Institute of Technology, VIT, Institute, Vellore, Tamil Nadu, registrar@vit.ac.in, 0416-2243091
Birla Institute of Technology and Science, BITS, Institute, Pilani, Rajasthan, registrar@pilani.bits-pilani.ac.in, 01596-242192
National Institute of Technology Trichy, NITT, Institute, Tiruchirappalli, Tamil Nadu, registrar@nitt.edu, 0431-2503000
Indian Institute of Science, IISC, Institute, Bangalore, Karnataka, registrar@iisc.ac.in, 080-22932004
Manipal Academy of Higher Education, MAHE, University, Manipal, Karnataka, registrar@manipal.edu, 092437-77733
Amity University, AU-NOIDA, University, Noida, Uttar Pradesh, registrar@amity.edu, 0120-2445252
SRM Institute of Science and Technology, SRM, Institute, Chennai, Tamil Nadu, registrar@srmist.edu.in, 044-27455510
Thapar Institute of Engineering and Technology, TIET, Institute, Patiala, Punjab, registrar@thapar.edu, 0175-2393021
Visvesvaraya Technological University, VTU, University, Belagavi, Karnataka, registrar@vtu.ac.in, 0831-2498100
Savitribai Phule Pune University, SPPU, University, Pune, Maharashtra, regis@unipune.ac.in, 020-25601099
Osmania University, OU, University, Hyderabad, Telangana, registrar@osmania.ac.in, 040-27098043
Calcutta University, CU, University, Kolkata, West Bengal, registrar@caluniv.ac.in, 033-22410071
Jadavpur University, JU-KOL, University, Kolkata, West Bengal, registrar@jadavpuruniversity.in, 033-24146414
Gujarat Technological University, GTU, University, Ahmedabad, Gujarat, registrar@gtu.ac.in, 079-23267521
Loyola College, LOC, College, Chennai, Tamil Nadu, principal@loyolacollege.edu, 044-28178200
St. Stephens College, SSC, College, New Delhi, Delhi, principal@ststephens.edu, 011-27667271
Miranda House, MH, College, New Delhi, Delhi, principal@mirandahouse.ac.in, 011-27666983
Madras Christian College, MCC, College, Chennai, Tamil Nadu, principal@mcc.edu.in, 044-22390675
Fergusson College, FC, College, Pune, Maharashtra, principal@fergusson.edu, 020-67656000
Christ University, CHR, University, Bangalore, Karnataka, registrar@christuniversity.in, 080-40129100
Symbiosis International University, SIU, University, Pune, Maharashtra, registrar@siu.edu.in, 020-28116200
Lovely Professional University, LPU, University, Phagwara, Punjab, registrar@lpu.co.in, 1800-102-4431
Chandigarh University, CHAND, University, Mohali, Punjab, registrar@cumail.in, 1800-1212-88800
